Wall time,Step,Value
1747582264.049041,465,1.0
1747582606.3252912,1132,1.0
1747583022.571059,1940,1.0
1747583409.141064,2693,-1.0
1747584143.7264948,4121,-1.0
1747584744.9075577,5295,0.0
1747584825.8848789,5454,0.0
1747585018.648459,5832,0.0
1747585035.8625019,5866,0.0
1747585102.5210683,5997,0.0
1747585131.0610387,6053,0.0
1747585245.9903202,6279,0.0
1747585274.0882616,6334,0.0
1747585476.23663,6730,0.0
1747585609.741559,6991,-1.0
1747585850.3755708,7464,-1.0
1747585943.5655546,7644,-1.0
1747586278.2512515,8291,-1.0
1747586414.0053387,8554,-1.0
1747586486.4450688,8694,-1.0
1747586774.6011438,9252,0.0
1747587011.5695121,9712,0.0
1747587032.6930845,9753,0.0
1747587076.1250439,9837,0.0
1747587133.8971903,9949,0.0
1747587149.358185,9979,0.0
1747587259.6317718,10191,0.0
1747587390.3406126,10445,0.0
1747587493.1851144,10645,0.0
1747587688.044465,11023,1.0
1747588098.7821527,11819,1.0
1747588206.0890849,12027,1.0
1747588373.4482105,12354,1.0
1747588435.839945,12476,1.0
1747588654.8676856,12905,-1.0
1747588857.1474676,13304,-1.0
1747588967.855125,13522,-1.0
1747589195.4414618,13971,-1.0
1747589538.2608223,14645,0.0
1747590360.5730994,16241,0.0
1747590681.1811748,16866,0.0
1747590689.8575072,16883,0.0
1747591326.013816,18121,0.0
1747591510.997731,18481,0.0
1747591885.4648979,19209,1.0
1747591941.4934537,19319,1.0
1747592033.9135585,19501,1.0
1747592092.760396,19617,1.0
1747592715.2236323,20841,1.0
1747592933.1139941,21267,1.0
1747593394.3178344,22162,1.0
1747593673.606179,22702,1.0
1747594583.7199342,24469,-1.0
1747594732.6040618,24758,-1.0
1747594825.029109,24938,-1.0
1747595082.9002745,25444,-1.0
1747595186.9484146,25649,-1.0
1747596029.915427,27308,1.0
1747596331.4601536,27894,1.0
1747597057.5969305,29310,-1.0
1747597150.267737,29490,-1.0
1747597188.8461525,29565,-1.0
1747597225.553585,29636,-1.0
1747597246.5475826,29677,-1.0
1747597440.9501703,30055,-1.0
1747597567.067159,30300,-1.0
1747598121.409118,31376,-1.0
1747598139.109915,31410,-1.0
1747598860.307991,32811,1.0
1747599363.4870226,33803,1.0
