Wall time,Step,Value
1748330361.143351,18,3340192.0
1748330375.8475568,47,3340192.0
1748330383.4662142,62,3340192.0
1748330383.9731052,63,3340192.0
1748330388.0411267,71,3340192.0
1748330397.1731484,89,3340192.0
1748330404.2971368,103,3340192.0
1748330406.3250923,107,3340192.0
1748330416.984273,128,3340192.0
1748330418.0011463,130,3340192.0
1748330431.7692049,157,3340192.0
1748330433.2903724,160,3340192.0
1748330435.3121588,164,3340192.0
1748330439.3603623,172,3340192.0
1748330449.0092924,191,3340192.0
1748330455.113227,203,3340192.0
1748330468.3141804,229,3340192.0
1748330475.9208996,244,3340192.0
1748330476.4291248,245,3340192.0
1748330483.5291033,259,3340192.0
1748330495.2081742,282,3340192.0
1748330496.733782,285,3340192.0
1748330512.4770815,316,3340192.0
1748330513.9970849,319,3340192.0
1748330527.709113,346,3340192.0
1748330533.7970753,358,3340192.0
1748330537.8454525,366,3340193.0
1748330544.1028368,378,3340214.0
1748330548.161236,386,3340227.0
1748330556.2606535,402,3340248.0
1748330562.8551834,415,3340261.0
1748330573.5764575,436,3340295.0
1748330574.0788562,437,3340298.0
1748330578.671822,446,3340311.0
1748330586.3451123,461,3340332.0
1748330588.4131966,465,3340339.0
1748330593.4891088,475,3340351.0
1748330596.0257092,480,3340361.0
1748330596.5288408,481,3340366.0
1748330611.2601755,510,3340415.0
1748330622.9572506,533,3340460.0
1748330625.4891376,538,3340461.0
1748330626.5203266,540,3340466.0
1748330634.6617515,556,3340477.0
1748330637.7091057,562,3340482.0
1748330651.9972968,590,3340532.0
1748330654.021153,594,3340541.0
1748330655.0299807,596,3340545.0
1748330671.8618968,629,3340605.0
1748330675.9210913,637,3340616.0
1748330678.9450905,643,3340624.0
1748330679.4531307,644,3340624.0
1748330686.6285622,658,3340661.0
1748330691.2171106,667,3340670.0
1748330695.3670728,675,3340680.0
1748330718.9674098,721,3340740.0
1748330720.997868,725,3340748.0
1748330741.081259,764,3340803.0
1748330746.6697323,775,3340816.0
1748330750.2291057,782,3340822.0
1748330753.352257,788,3340829.0
1748330761.4362042,804,3340847.0
1748330775.9210885,832,3340877.0
1748330788.6337905,857,3340926.0
1748330793.217053,866,3340937.0
1748330803.3491294,886,3340969.0
1748330831.8694758,942,3341039.0
1748330860.885095,999,3341141.0
1748330863.417134,1004,3341150.0
1748330868.9931376,1015,3341159.0
1748330872.5612338,1022,3341167.0
1748330874.5931933,1026,3341173.0
1748330875.6082392,1028,3341173.0
1748330880.2559147,1037,3341185.0
1748330889.9233499,1056,3341219.0
1748330897.5570898,1071,3341242.0
1748330900.637888,1077,3341251.0
1748330911.34178,1098,3341279.0
1748330916.9360511,1109,3341293.0
1748330917.9509997,1111,3341298.0
1748330925.0211825,1125,3341317.0
1748330928.617147,1132,3341326.0
1748330938.2451267,1151,3341352.0
1748330938.7737863,1152,3341356.0
1748330944.8697858,1164,3341382.0
1748330949.9537146,1174,3341400.0
1748330950.9651654,1176,3341405.0
1748330955.0399585,1184,3341415.0
1748330972.490102,1218,3341471.0
1748330976.1140938,1225,3341482.0
1748330986.7891502,1246,3341507.0
1748330989.8288283,1252,3341527.0
1748330990.8411074,1254,3341527.0
1748330992.405101,1257,3341532.0
1748330994.4370978,1261,3341540.0
1748330997.5027037,1267,3341543.0
1748330999.5330808,1271,3341548.0
1748331002.0876184,1276,3341558.0
1748331013.2452183,1298,3341574.0
1748331027.1536775,1325,3341612.0
1748331037.422598,1345,3341643.0
1748331047.122752,1364,3341666.0
1748331052.7358415,1375,3341688.0
1748331053.2397923,1376,3341692.0
1748331074.1211522,1417,3341763.0
1748331085.4062514,1439,3341822.0
1748331094.739004,1457,3341877.0
1748331095.2460513,1458,3341880.0
1748331113.770357,1494,3341997.0
1748331117.9404497,1502,3342026.0
1748331121.997098,1510,3342053.0
1748331123.513858,1513,3342061.0
1748331141.560777,1548,3342176.0
1748331143.077116,1551,3342185.0
1748331150.2331295,1565,3342230.0
1748331151.7543094,1568,3342238.0
1748331154.4371362,1573,3342253.0
1748331160.6127384,1585,3342290.0
1748331166.3011045,1596,3342322.0
1748331182.1508815,1627,3342425.0
1748331186.2171378,1635,3342449.0
1748331204.1811986,1670,3342543.0
1748331211.8477812,1685,3342598.0
1748331220.601068,1702,3342657.0
1748331221.6112082,1704,3342663.0
1748331223.1612442,1707,3342674.0
1748331225.2072082,1711,3342686.0
1748331258.1342342,1775,3342888.0
1748331259.1451445,1777,3342894.0
1748331265.363309,1789,3342936.0
1748331266.897734,1792,3342949.0
1748331295.378139,1847,3343138.0
1748331297.4170873,1851,3343156.0
1748331302.0731077,1860,3343181.0
1748331305.721894,1867,3343202.0
1748331322.2730885,1899,3343303.0
1748331323.7922542,1902,3343312.0
1748331326.8669431,1908,3343330.0
1748331327.384489,1909,3343333.0
1748331341.2490718,1936,3343434.0
1748331343.2771673,1940,3343446.0
1748331345.8100958,1945,3343464.0
1748331346.8251464,1947,3343469.0
1748331353.57927,1960,3343510.0
1748331354.106451,1961,3343513.0
1748331363.3171914,1979,3343564.0
1748331410.3486452,2070,3343865.0
1748331414.9128554,2079,3343896.0
1748331420.0055237,2089,3343931.0
1748331425.6380734,2100,3343966.0
1748331433.2972016,2115,3344010.0
1748331435.321103,2119,3344026.0
1748331445.701899,2139,3344095.0
1748331474.0662932,2194,3344264.0
1748331481.7651668,2209,3344317.0
1748331484.8092175,2215,3344336.0
1748331497.0211031,2239,3344416.0
1748331499.5652242,2244,3344431.0
1748331538.0051236,2319,3344662.0
1748331549.845421,2342,3344735.0
1748331558.5370972,2359,3344787.0
1748331576.4691093,2394,3344901.0
