Wall time,Step,Value
1748172456.0250673,172,60.0
1748172492.509079,244,60.0
1748172500.1131146,259,60.0
1748172605.1777155,465,60.0
1748172628.0660324,510,60.0
1748172651.6090488,556,60.0
1748172703.614052,658,60.0
1748172777.9985964,804,60.0
1748172891.7102013,1026,60.0
1748172897.389785,1037,60.0
1748172946.4256923,1132,60.0
1748172973.0541692,1184,60.0
1748173017.897045,1271,60.0
1748173093.045665,1417,60.0
1748173114.3472078,1458,60.0
1748173132.9342127,1494,60.0
1748173141.2130854,1510,60.0
1748173160.801215,1548,60.0
1748173169.4656765,1565,60.0
1748173362.9734788,1940,60.0
1748173373.2170656,1960,60.0
1748173632.8057158,2462,60.0
1748173653.987336,2503,60.0
1748173692.2949224,2577,60.0
1748173746.7924604,2684,60.0
1748173751.3638444,2693,60.0
1748173758.9930372,2708,60.0
1748173763.596225,2717,60.0
1748173949.3735762,3083,60.0
1748173960.7300847,3105,60.0
1748174029.9738162,3241,60.0
1748174042.106831,3265,60.0
1748174088.4527855,3356,60.0
1748174195.4664953,3566,60.0
1748174212.726418,3600,60.0
1748174240.1303759,3654,60.0
1748174247.3045511,3668,60.0
1748174248.8278224,3671,60.0
1748174372.7118955,3915,60.0
1748174427.6784735,4023,60.0
1748174471.3187888,4109,60.0
1748174477.3921354,4121,60.0
1748174508.0185227,4181,60.0
1748174531.4104571,4227,60.0
1748174582.8554819,4328,60.0
1748174702.8614473,4564,60.0
1748174839.499412,4832,60.0
1748174970.7645288,5090,60.0
1748174994.1801002,5136,60.0
1748175020.2066228,5187,60.0
1748175026.77776,5200,60.0
1748175058.2971756,5262,60.0
1748175075.1288466,5295,60.0
1748175109.1424732,5362,60.0
1748175156.312414,5454,60.0
1748175265.5250905,5667,60.0
1748175350.4412055,5832,60.0
1748175367.7350006,5866,60.0
1748175374.4862697,5879,60.0
1748175427.2757308,5981,60.0
1748175435.5570421,5997,60.0
1748175464.3915308,6053,60.0
1748175508.3692133,6138,60.0
1748175553.1675825,6225,60.0
1748175580.9135792,6279,60.0
1748175608.9820588,6334,60.0
1748175626.8890548,6369,60.0
1748175729.478125,6569,60.0
1748175812.0371404,6730,60.0
1748175822.38503,6750,60.0
1748175873.9700162,6850,60.0
1748175909.606969,6919,60.0
1748175946.673216,6991,60.0
1748175979.515417,7054,60.0
1748176081.805149,7253,60.0
1748176176.073564,7436,60.0
1748176190.4491305,7464,60.0
1748176231.2551022,7543,60.0
1748176282.9455688,7644,60.0
1748176327.0540478,7730,60.0
1748176359.559036,7794,60.0
1748176457.347975,7986,60.0
1748176526.3428457,8122,60.0
1748176612.1510198,8291,60.0
1748176743.05524,8548,60.0
1748176746.0990071,8554,60.0
1748176778.5826068,8618,60.0
1748176799.399197,8659,60.0
1748176817.1595194,8694,60.0
1748176832.3755548,8724,60.0
1748176846.6029515,8752,60.0
1748176859.0098786,8776,60.0
1748176860.0206459,8778,60.0
1748176910.5222855,8877,60.0
1748177002.4596455,9058,60.0
1748177050.2166295,9152,60.0
1748177101.1039045,9252,60.0
1748177120.8451338,9291,60.0
1748177139.179255,9327,60.0
1748177155.3945382,9359,60.0
1748177251.235911,9547,60.0
1748177335.184943,9712,60.0
1748177355.998536,9753,60.0
1748177356.5047038,9754,60.0
1748177398.7148004,9837,60.0
1748177413.9295237,9867,60.0
1748177427.6637082,9894,60.0
1748177439.6508534,9917,60.0
1748177455.889859,9949,60.0
1748177468.0481563,9973,60.0
1748177471.0889547,9979,60.0
1748177513.910802,10063,60.0
1748177527.5836103,10090,60.0
1748177543.3771923,10121,60.0
1748177578.9890969,10191,60.0
1748177655.90095,10342,60.0
1748177682.8372393,10395,60.0
1748177708.1731408,10445,60.0
1748177714.7731507,10458,60.0
1748177747.0537632,10518,60.0
1748177769.2450154,10561,60.0
1748177811.261182,10643,60.0
1748177812.3170633,10645,60.0
1748177844.3010712,10707,60.0
1748177853.096038,10724,60.0
1748178006.6654127,11023,60.0
1748178055.4441803,11118,60.0
1748178106.8203344,11218,60.0
1748178164.9607031,11331,60.0
1748178197.4925504,11394,60.0
1748178416.7471156,11819,60.0
1748178441.7134619,11867,60.0
1748178524.4130082,12027,60.0
1748178549.5879927,12076,60.0
1748178672.6337223,12316,60.0
1748178692.2080562,12354,60.0
1748178714.8026507,12398,60.0
1748178715.8570967,12400,60.0
1748178754.9653852,12476,60.0
1748178874.400105,12708,60.0
1748178972.4118085,12901,60.0
1748178974.439915,12905,60.0
1748178994.2150757,12944,60.0
1748179177.0874064,13304,60.0
1748179219.652061,13388,60.0
1748179287.5864284,13522,60.0
1748179301.820685,13550,60.0
1748179338.8585558,13623,60.0
1748179348.5102625,13642,60.0
1748179351.031067,13647,60.0
1748179429.5719068,13802,60.0
1748179453.5597484,13849,60.0
1748179515.4030354,13971,60.0
1748179519.9644651,13980,60.0
1748179553.5087633,14046,60.0
1748179625.8724349,14188,60.0
1748179635.0117304,14206,60.0
1748179665.0043879,14265,60.0
1748179713.8386123,14361,60.0
1748179858.249019,14645,60.0
1748179909.04256,14745,60.0
1748179963.0716622,14851,60.0
1748179969.6930392,14864,60.0
1748180048.2418976,15019,60.0
1748180071.570668,15065,60.0
1748180074.0962687,15070,60.0
1748180101.7224395,15124,60.0
1748180132.7277079,15185,60.0
1748180227.1300497,15371,60.0
1748180349.5323806,15610,60.0
1748180363.9601235,15638,60.0
1748180676.0259955,16241,60.0
1748180754.077652,16392,60.0
1748180982.0170116,16834,60.0
1748180998.5039637,16866,60.0
1748181005.645006,16880,60.0
1748181007.1810849,16883,60.0
1748181019.4659019,16907,60.0
1748181039.9410625,16947,60.0
1748181129.267221,17120,60.0
1748181132.902183,17127,60.0
1748181203.1026444,17263,60.0
1748181270.9252083,17394,60.0
1748181358.27035,17563,60.0
1748181394.2287493,17632,60.0
1748181427.930078,17697,60.0
1748181445.3601584,17731,60.0
1748181584.8812494,18005,60.0
1748181643.676775,18121,60.0
1748181647.7374785,18129,60.0
1748181649.763502,18133,60.0
1748181651.8017664,18137,60.0
1748181788.0533562,18405,60.0
1748181826.8573244,18481,60.0
1748181968.3431766,18759,60.0
1748181971.383768,18765,60.0
1748181986.589681,18795,60.0
1748182042.1127179,18904,60.0
1748182146.3722408,19109,60.0
1748182148.3997645,19113,60.0
1748182197.069654,19209,60.0
1748182252.8433597,19319,60.0
1748182282.3142462,19377,60.0
1748182345.3276634,19501,60.0
1748182368.1209984,19546,60.0
1748182404.269828,19617,60.0
1748182518.0476553,19841,60.0
1748182559.1268158,19922,60.0
1748182598.5346155,19999,60.0
1748182849.80512,20493,60.0
1748182893.873471,20578,60.0
1748182914.5511472,20618,60.0
1748182929.0410516,20646,60.0
1748182988.193083,20760,60.0
1748183029.9998713,20841,60.0
1748183095.277084,20968,60.0
1748183100.9655862,20979,60.0
1748183130.207483,21036,60.0
1748183139.760138,21052,60.0
1748183179.270106,21129,60.0
1748183250.5421984,21267,60.0
1748183273.405045,21311,60.0
1748183462.469134,21676,60.0
1748183661.709073,22063,60.0
1748183712.9299216,22162,60.0
1748183787.7586203,22307,60.0
1748183992.0804734,22702,60.0
1748184019.8961577,22756,60.0
1748184180.1685958,23071,60.0
1748184197.9501274,23106,60.0
1748184350.4727945,23406,60.0
1748184350.9786112,23407,60.0
1748184398.2271457,23500,60.0
1748184443.5531187,23589,60.0
1748184844.6226077,24378,60.0
1748184890.7883875,24469,60.0
1748184892.8138251,24473,60.0
1748184902.4769616,24492,60.0
1748185010.0025814,24704,60.0
1748185017.1241977,24718,60.0
1748185037.4704888,24758,60.0
1748185072.9254158,24828,60.0
1748185080.5305572,24843,60.0
1748185100.346907,24882,60.0
1748185128.9956756,24938,60.0
1748185155.8886213,24991,60.0
1748185187.4325502,25053,60.0
1748185217.479902,25112,60.0
1748185288.3322031,25249,60.0
1748185389.2741287,25444,60.0
1748185494.1098983,25649,60.0
1748185522.007126,25703,60.0
1748185528.15451,25715,60.0
1748185632.1998434,25917,60.0
1748185638.3810844,25929,60.0
1748185811.0551488,26263,60.0
1748185831.530308,26303,60.0
1748185869.7787454,26377,60.0
1748185892.3050344,26421,60.0
1748186008.5433404,26646,60.0
1748186032.917061,26693,60.0
1748186096.2571342,26816,60.0
1748186198.208108,27014,60.0
1748186205.9450545,27029,60.0
1748186244.713589,27104,60.0
1748186350.048795,27308,60.0
1748186424.6249893,27454,60.0
1748186458.7691302,27521,60.0
1748186512.264277,27626,60.0
1748186596.5900834,27792,60.0
1748186617.3314867,27833,60.0
1748186648.196956,27894,60.0
1748186705.0457082,28006,60.0
1748186724.8646827,28045,60.0
1748186753.7222874,28102,60.0
1748187105.5301948,28794,60.0
1748187196.0199203,28972,60.0
1748187202.1004105,28984,60.0
1748187341.9762237,29259,60.0
1748187367.865358,29310,60.0
1748187459.2984016,29490,60.0
1748187497.3670433,29565,60.0
1748187525.3413112,29620,60.0
1748187533.4349415,29636,60.0
1748187554.2071579,29677,60.0
1748187608.5184443,29784,60.0
1748187632.5206578,29831,60.0
1748187641.1838531,29848,60.0
1748187654.3539245,29874,60.0
1748187705.0591655,29974,60.0
1748187746.216477,30055,60.0
1748187752.2891738,30067,60.0
1748187758.9155426,30080,60.0
1748187872.20512,30300,60.0
1748187889.3291001,30333,60.0
1748188079.72524,30703,60.0
1748188176.7128406,30892,60.0
1748188190.7382665,30919,60.0
1748188211.4278612,30959,60.0
1748188215.5849776,30967,60.0
1748188235.6760647,31006,60.0
1748188358.7739148,31244,60.0
1748188426.7712786,31376,60.0
1748188444.5459666,31410,60.0
1748188546.8975894,31607,60.0
1748188574.4386818,31660,60.0
1748188699.1602256,31902,60.0
1748188707.4556437,31918,60.0
1748188725.8449361,31953,60.0
1748188737.762033,31976,60.0
1748188757.3940957,32014,60.0
1748189010.749102,32507,60.0
1748189042.1684935,32569,60.0
1748189165.2651317,32811,60.0
1748189171.8784506,32824,60.0
1748189172.3842487,32825,60.0
1748189211.4548972,32902,60.0
1748189267.4973707,33012,60.0
